Result: comparison = 6192 | swap = 942 | running time = 0.023002147674560547 second
Size = 750 | ArrayType = random | SortType = pure_merge 
Result: comparison = 7226 | swap = 0 | running time = 0.029001951217651367 second
Size = 750 | ArrayType = random | SortType = pure_insertion 
Result: comparison = 140920 | swap = 140920 | running time = 0.5350298881530762 second
Size = 750 | ArrayType = almost_sorted | SortType = optimized 
Result: comparison = 5555 | swap = 305 | running time = 0.02000117301940918 second
Size = 750 | ArrayType = almost_sorted | SortType = pure_merge 
Result: comparison = 7226 | swap = 0 | running time = 0.027000904083251953 second
Size = 750 | ArrayType = almost_sorted | SortType = pure_insertion 
Result: comparison = 28687 | swap = 28687 | running time = 0.10300493240356445 second
Size = 750 | ArrayType = reversed_sorted | SortType = optimized 
Result: comparison = 7080 | swap = 1830 | running time = 0.016000986099243164 second
Size = 750 | ArrayType = reversed_sorted | SortType = pure_merge 
Result: comparison = 7226 | swap = 0 | running time = 0.02100086212158203 second
Size = 750 | ArrayType = reversed_sorted | SortType = pure_insertion 
Result: comparison = 280875 | swap = 280875 | running time = 0.740041971206665 second
Size = 750 | ArrayType = sorted | SortType = optimized 
Result: comparison = 5250 | swap = 0 | running time = 0.009001016616821289 second
Size = 750 | ArrayType = sorted | SortType = pure_merge 
Result: comparison = 7226 | swap = 0 | running time = 0.013000965118408203 second
Size = 750 | ArrayType = sorted | SortType = pure_insertion 
Result: comparison = 0 | swap = 0 | running time = 0.0 second
Size = 750 | ArrayType = spiky | SortType = optimized 
Result: comparison = 6192 | swap = 942 | running time = 0.01900196075439453 second
Size = 750 | ArrayType = spiky | SortType = pure_merge 
Result: comparison = 7226 | swap = 0 | running time = 0.016000986099243164 second
Size = 750 | ArrayType = spiky | SortType = pure_insertion 
Result: comparison = 141921 | swap = 141921 | running time = 0.38602209091186523 second
Size = 1000 | ArrayType = random | SortType = optimized 
Result: comparison = 8737 | swap = 737 | running time = 0.022001028060913086 second
Size = 1000 | ArrayType = random | SortType = pure_merge 
Result: comparison = 9976 | swap = 0 | running time = 0.028002023696899414 second
